Invoice_id,Cust_id,Txn_date,Product_Sub_category,Product_Category,Qty,Rate,Tax,Total_Amt,Store_type
25890929042,266783,2016-09-23,Women,Footwear,4,1321,554.82,5838.82,e-Shop
98477711300,266783,2017-10-21,Mens,Clothing,3,93,29.295,308.295,TeleShop
8410316370,266783,2018-02-20,Mens,Clothing,1,869,91.245,960.245,e-Shop
16999552161,266783,2018-09-02,Non-fiction,Books,2,835,175.35,1845.35,e-Shop
36310127403,266784,2017-04-12,Mobiles,Electronics,2,200,42.0,442.0,Brick and Mortar
54234600611,266784,2017-08-23,Non-fiction,Books,3,1291,406.665,4279.665,TeleShop
26928161256,266784,2017-09-09,Fiction,Books,5,176,92.4,972.4,e-Shop
94925617839,266785,2016-03-15,Mens,Footwear,5,1251,656.775,6911.775,TeleShop
62414620900,266785,2016-10-24,Mens,Footwear,2,1419,297.99,3135.99,e-Shop
17960226367,266785,2017-01-02,Kids,Books,5,917,481.425,5066.425,TeleShop
79527990288,266785,2017-01-07,Women,Footwear,3,1068,336.42,3540.42,Brick and Mortar
96176911576,266785,2017-05-23,Home Decoratives,Home and kitchen,5,1236,648.9,6828.9,Brick and Mortar
89882144571,266785,2018-01-08,Women,Bags,3,206,64.89,682.89,TeleShop
72638047851,266785,2018-02-13,Women,Footwear,5,412,216.3,2276.3,Brick and Mortar
86711622576,266788,2016-09-13,Mens,Footwear,4,436,183.12,1927.12,e-Shop
4236411732,266788,2016-12-06,Fiction,Books,1,1238,129.99,1367.99,Brick and Mortar
5914139604,266788,2017-10-31,Women,Bags,2,672,141.12,1485.12,Brick and Mortar
89000309020,266788,2018-12-02,Women,Footwear,1,1188,124.74,1312.74,e-Shop
21355537809,266794,2016-03-18,Kids,Clothing,3,774,243.81,2565.81,Brick and Mortar
86426292691,266794,2016-04-13,Kids,Books,3,1332,419.58,4415.58,e-Shop
94032380647,266794,2016-04-22,Academic,Books,4,897,376.74,3964.74,Brick and Mortar
65159722842,266794,2016-04-22,Mens,Bags,3,828,260.82,2744.82,Brick and Mortar
33850562229,266794,2016-10-06,Women,Bags,2,1334,280.14,2948.14,e-Shop
